"","Ranking","City","Country","Wifi","Co_Work","Coffee","Taxi","Beer","Rent","Meal","Sun","Fun","Insta"
"130",130,"La Paz","Bolivia",6,7,2.48,1.48,2.17,335.26,3.39,2289,211,1.45
"36",36,"Las Vegas","United States",47,21,4.37,1.89,5.62,1074.31,14.04,3825,1420,40.52
"64",64,"Lima","Peru",16,67,2.25,1.42,1.89,477.61,3.07,1230,855,10.15
"3",3,"Lisbon","Portugal",33,95,2.03,0.52,2.22,957.05,10,2806,1969,10.21
"75",75,"Liverpool","United Kingdom",26,17,3.46,1.21,2.28,843.92,15.6,2199,1050,14.83
"71",71,"Ljubljana","Slovenia",61,8,1.89,1.1,2.89,685.91,11.1,1974,422,1.74
"102",101,"London","United Kingdom",22,318,3.84,2.21,6.5,2160.93,19.5,1633,4983,150.7
"30",30,"Los Angeles","United States",58,105,4.41,1.57,6.55,2096.41,18.72,3254,1375,75.44
"97",97,"Lyon","France",36,21,3.44,1.96,3.41,775.29,14.16,2002,502,9.14
"12",12,"Madrid","Spain",32,125,2.21,1.22,6.51,977.34,13.33,2769,1976,44.17
"47",47,"Malaga","Spain",26,17,1.65,0.95,2.77,755.48,11.1,3365,525,6.99
"127",126,"Manchester","United Kingdom",33,38,3.65,1.59,5.2,1104,19.5,1416,458,16.47
"104",104,"Manila","Philippines",8,29,2.3,0.25,1.59,641.93,3.73,2103,161,5.38
"43",43,"Marrakech","Morocco",8,5,1.94,0.52,4.43,376.57,4.58,3131,2107,8.67
"110",110,"Marseille","France",24,11,2.98,1.68,6.66,669.08,14.43,2858,488,8.06
"46",46,"Medellin","Colombia",9,41,1.2,0.88,0.98,242.5,3.67,1892,546,30.9
"55",55,"Melbourne","Australia",21,127,3.04,1.13,7.01,1202.63,14.01,2636,1242,33.95
"17",17,"Mexico City","Mexico",20,133,2.17,0.31,1.89,590.63,7.07,2555,969,6.81
"52",52,"Miami","United States",40,59,4.23,1.51,5.62,1821.04,14.98,3154,762,80.5
"86",86,"Milan","Italy",17,87,1.79,1.49,5.36,1205.5,16.65,1915,1543,21.73
"67",67,"Minsk","Belarus",23,5,1.42,0.2,1.46,382.14,7.27,1780,352,11.08
