"","Ranking","City","Country","Wifi","Co_Work","Coffee","Taxi","Beer","Rent","Meal","Sun","Fun","Insta"
"116","Ranking","City","Country","Average Wifi Speed","Number Of Co-Working Spaces","Coffee ~ Average Price","Taxi Fare ~ Average Cost","Beer ~ Average Price","Studio ~ Average Rentals","Meals ~ Average Price At Local Restaurant","Sunshine Hours ~ Annual Average","Attractions On Tripadvisor","Instagramability"
"2","Ranking","City","Country","Wifi Speed (Mbps Per Second)","Co-Working Spaces","Price Per Cup (US$)","Fare Per Km (US$)","Price Per Glass (US$)","1 BR Rental For 1 Month (US$)","Price Per Meal (US$)","Hours (Annual)","Number Of Attractions","Number Of Photos with # (in Millions)"
